id,symbol,date,open,high,low,close,adj_close,volume,created_at,dividends,stock_splits,capital_gains
2134,XLI,2025-09-24,153.37,153.7,152.22,152.25,152.25,5938400,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2135,XLI,2025-09-25,151.74,151.77,150.62,151.22,151.22,7145800,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2136,XLI,2025-09-26,152.06,153.21,152.02,152.58,152.58,6958900,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2137,XLI,2025-09-29,153.77,153.92,152.53,153.05,153.05,7177600,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2138,XLI,2025-09-30,152.87,154.38,152.84,154.23,154.23,8211200,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2139,XLI,2025-10-01,153.48,154.11,153.11,153.8,153.8,8753400,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2140,XLI,2025-10-02,153.96,154.8,153.28,154.2,154.2,8495400,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2141,XLI,2025-10-03,154.41,155.41,153.94,154.41,154.41,7430000,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2142,XLI,2025-10-06,154.91,155.44,154.17,155.13,155.13,6861000,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2143,XLI,2025-10-07,155.36,155.77,153.9,154.25,154.25,11204100,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2144,XLI,2025-10-08,154.64,155.82,153.96,155.59,155.59,9686000,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2145,XLI,2025-10-09,155.75,155.94,153.07,153.29,153.29,9751200,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2146,XLI,2025-10-10,153.7,154.2,149.89,149.9,149.9,24285300,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2147,XLI,2025-10-13,151.0,152.04,150.69,151.46,151.46,11014200,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2148,XLI,2025-10-14,150.08,153.93,149.98,153.24,153.24,11015600,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2149,XLI,2025-10-15,153.79,154.65,151.26,152.6,152.6,10338300,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2150,XLI,2025-10-16,153.05,153.31,150.84,151.6,151.6,13796400,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2151,XLI,2025-10-17,151.44,152.35,150.99,151.73,151.73,10806300,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1257,XLI,2025-10-20,152.54,153.85,152.48,153.52,153.52,8192600,2025-10-24 22:59:49.677963,0.0,0.0,0.0
